-3,-3,3628516958267142767
-3,-2,7148663814558629426
-3,-1,-1942539612767165800
-3,0,1519615876187789205
-3,1,45349523895723213
-3,2,4538613383513860590
-3,3,7049469912653522816
-3,4,-1433776532147415360
-2,-3,-4524394013270056478
-2,-2,601252043734746346
-2,-1,-137272545987797009
-2,0,3916781494192708052
-2,1,8672435738070449549
-2,2,8696074057402001667
-2,3,4447639107177796474
-2,4,5293925071185124700
-1,-3,-8689052093465589642
-1,-2,3273659390490473613
-1,-1,8720652759165903178
-1,0,4135453155673458677
-1,1,8928033590478672532
-1,2,215824922895985174
-1,3,5956776257467443385
-1,4,8431026957292849618
0,-3,-338631856360078492
0,-2,8336171682462372307
0,-1,-4512132462114596201
0,0,9123204851110579250
0,1,-5088675169269417016
0,2,8132910324210545323
0,3,-727462696700968903
0,4,7050459591566217121
1,-3,6719357456141435247
1,-2,-2679373853991520708
1,-1,-646128338534195395
1,0,-8180331935681442021
1,1,2050839153633945545
1,2,8912193597438323954
1,3,8610127209273426240
2,-3,-7253989517015999534
2,-2,5071496043082579301
2,-1,-2754052469366843652
2,0,-2012949921186993176
2,1,-716728780356081102
2,2,-4316813680179780944
